Name,Phone
kar1,kar1
kar2,kar2
kar3,kar3
kar4,kar4
kar5,kar5
kar6,kar6
kar7,kar7
kar8,kar8
kar9,kar9
kar10,kar10
kar11,kar11
kar12,kar12
kar13,kar13
kar14,kar14
kar15,kar15
kar16,kar16
kar17,kar17
kar18,kar18
kar19,kar19
kar20,kar20
kar21,kar21
kar22,kar22
kar23,kar23
kar24,kar24
kar25,kar25
kar26,kar26
kar27,kar27
kar28,kar28
kar29,kar29
kar30,kar30
kar31,kar31
kar32,kar32
kar33,kar33
kar34,kar34
kar35,kar35
kar36,kar36
kar37,kar37
kar38,kar38
kar39,kar39
kar40,kar40
kar41,kar41
kar42,kar42
kar43,kar43
kar44,kar44
kar45,kar45
kar46,kar46
kar47,kar47
kar48,kar48
kar49,kar49
kar50,kar50
